module,type,name,res_id,src,value,comments
openacademy,model,"ir.ui.view,arch_db",openacademy.view_openacad_session_kanban,"<br/>
                                    Start date:","<br/>
                                    Start date:",
openacademy,model,"ir.ui.view,arch_db",openacademy.view_openacad_session_kanban,"<br/>
                                    duration:","<br/>
                                    duration:",
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session_active,Active,Активен,
openacademy,model,"ir.actions.act_window,name",openacademy.launch_session_wizard,Add Attendees,Add Attendees,
openacademy,model,"ir.ui.view,arch_db",openacademy.wizard_form_view,Add Attendees,Add Attendees,
openacademy,model,"ir.model.fields,field_description",openacademy.field_res_partner_session_ids,Attended Sessions,Attended Sessions,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session_attendee_ids,Attendees,Attendees,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_wizard_attendee_ids,Attendees,Attendees,
openacademy,model,"ir.actions.act_window,name",openacademy.act_session_graph,Attendees by course,Attendees by course,
openacademy,model,"ir.ui.view,arch_db",openacademy.board_session_form,Attendees by course,Attendees by course,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session_attendees_count,Attendees count,Attendees count,
openacademy,model,"ir.ui.view,arch_db",openacademy.report_session_view,Attendees:,Attendees:,
openacademy,model,"ir.ui.view,arch_db",openacademy.wizard_form_view,Cancel,Отмена,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session_color,Color,Color,
openacademy,model,"ir.ui.menu,name",openacademy.configuration_menu,Configuration,Настройки,
openacademy,model,"ir.ui.view,arch_db",openacademy.session_form_view,Confirm,Подтвердить,
openacademy,selection,"openacademy.session,state",0,Confirmed,Confirmed,
openacademy,model,"ir.actions.act_window,name",openacademy.contact_cat_list_action,Contact Tags,Contact Tags,
openacademy,model,"ir.ui.menu,name",openacademy.contact_cat_menu,Contact Tags,Contact Tags,
openacademy,model,"ir.actions.act_window,name",openacademy.contact_list_action,Contacts,Contacts,
openacademy,model,"ir.ui.menu,name",openacademy.contact_menu,Contacts,Контакты,
openacademy,model,"ir.ui.view,arch_db",openacademy.course_form_view,Course Form,Course Form,
openacademy,model,"ir.ui.view,arch_db",openacademy.course_tree_view,Course Tree,Course Tree,
openacademy,model,"ir.actions.act_window,name",openacademy.act_course_list,Courses,Courses,
openacademy,model,"ir.actions.act_window,name",openacademy.course_list_action,Courses,Courses,
openacademy,model,"ir.ui.menu,name",openacademy.courses_menu,Courses,Courses,
openacademy,model,"ir.ui.view,arch_db",openacademy.board_session_form,Courses,Courses,
openacademy,model,"ir.actions.act_window,help",openacademy.course_list_action,Create the first course,Create the first course,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_course_create_uid,Created by,Создано,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_wizard_create_uid,Created by,Создано,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_course_create_date,Created on,Создан,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_wizard_create_date,Created on,Создан,
openacademy,model,"ir.ui.view,arch_db",openacademy.view_openacad_session_kanban,Delete,Delete,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_course_description,Description,Описание,
openacademy,model,"ir.ui.view,arch_db",openacademy.course_form_view,Description,Описание,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_course_display_name,Display Name,Отображаемое Имя,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session_display_name,Display Name,Отображаемое Имя,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_wizard_display_name,Display Name,Отображаемое Имя,
openacademy,selection,"openacademy.session,state",0,Done,Done,
openacademy,selection,"openacademy.session,state",0,Draft,Draft,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session_duration,Duration,Duration,
openacademy,model,"ir.model.fields,help",openacademy.field_openacademy_session_duration,Duration in days,Duration in days,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session_hours,Duration in hours,Duration in hours,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session_end_date,End Date,End Date,
openacademy,model,"ir.ui.view,arch_db",openacademy.report_session_view,From,From,
openacademy,model,"ir.ui.view,arch_db",openacademy.session_form_view,General,Общее,
openacademy,model,"ir.ui.view,arch_db",openacademy.course_search_view,Group By,Группировать по,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_course_id,ID,ID,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_wizard_id,ID,ID,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session_instructor_id,Instructor,Instructor,
openacademy,model,"ir.model.fields,field_description",openacademy.field_res_partner_instructor,Instructor,Instructor,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_course___last_update,Last Modified on,Последнее Изменение,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session___last_update,Last Modified on,Последнее Изменение,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_wizard___last_update,Last Modified on,Последнее Изменение,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_course_write_uid,Last Updated by,Последний раз обновлено,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_wizard_write_uid,Last Updated by,Последний раз обновлено,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_course_write_date,Last Updated on,Последний раз обновлено,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_wizard_write_date,Last Updated on,Последний раз обновлено,
openacademy,model,"ir.ui.view,arch_db",openacademy.session_form_view,Mark as done,Mark as done,
openacademy,model,"ir.ui.view,arch_db",openacademy.course_search_view,My Courses,My Courses,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session_name,Name,Наименование,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session_seats,Number of seats,Number of seats,
openacademy,model,"ir.ui.menu,name",openacademy.main_openacademy_menu,Open Academy,Open Academy,
openacademy,model,"ir.ui.menu,name",openacademy.openacademy_menu,Open Academy,Open Academy,
openacademy,model,"res.groups,name",openacademy.group_manager,OpenAcademy / Manager,OpenAcademy / Manager,
openacademy,model,"ir.ui.view,arch_db",openacademy.openacademy_session_graph_view,Participations by Courses,Participations by Courses,
openacademy,model,"ir.model,name",openacademy.model_res_partner,Partner,Партнёр,
openacademy,model,"ir.ui.view,arch_db",openacademy.course_form_view,Registered sessions,Registered sessions,
openacademy,model,"ir.ui.view,arch_db",openacademy.session_form_view,Reset to draft,Reset to draft,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_course_responsible_id,Responsible,Responsible,
openacademy,model,"ir.ui.view,arch_db",openacademy.course_search_view,Responsible,Responsible,
openacademy,model,"ir.ui.view,arch_db",openacademy.session_form_view,Schedule,Schedule,
